[object Object]ROCKDALE Stars Black Limited Edition HSS BK, https://www.muztorg.ru/files/bd9/v4j/u4m/1w0/4o4/k4c/848/4ok/8/bd9v4ju4m1w04o4k4c8484ok8.jpg, 22, 6, H-s-s, на болтах, клён, тополь,
IBANEZ GRGR131EX-BKF, https://www.muztorg.ru/files/7vq/y7t/8pk/ccg/ssw/0os/os8/ogc/g/7vqy7t8pkccgssw0osos8ogcg.jpg, 24, 6, H-h, на болтах, клён, тополь,
IBANEZ GRX70QA-TRB, https://www.muztorg.ru/files/7n6/341/sam/ask/48w/4cg/ckc/o08/4/7n6341samask48w4cgckco084.jpg, 22, 6, H-s-h, на болтах, клён, тополь,
ROCKDALE Stars HSS BK, https://www.muztorg.ru/files/dlt/zu6/fd3/r40/c0g/0sk/0o4/g40/k/dltzu6fd3r40c0g0sk0o4g40k.jpg, 22, 6, H-s-s, на болтах, клён, тополь,
IBANEZ GRGR221PA-AQB, https://www.muztorg.ru/files/8ly/qa7/9yh/ao8/wcc/sc4/s8g/kwk/8lyqa79yhao8wccsc4s8gkwk0.jpg, 24, 6, H-h, на болтах, клён, окуме,
IBANEZ RG421EX-BKF, https://www.muztorg.ru/files/7p3/d30/tb9/n4s/s00/g4k/k0w/gc4/4/7p3d30tb9n4ss00g4kk0wgc44.jpg, 24, 6, H-h, на болтах, клён, красное дерево,
IBANEZ GRG121DX-WNF, https://www.muztorg.ru/files/khn/fbe/7ej/tsk/kck/c0o/k00/4gk/khnfbe7ejtskkckc0ok004gk.png, 24, 6, H-h, на болтах, клён, окуме,
IBANEZ GRX40-BKN, https://www.muztorg.ru/files/2jp/wx4/khs/2o0/8o4/4wc/ssk/s80/8/2jpwx4khs2o08o44wcssks808.jpg, 22, 6, S-s-h, на болтах, клён, тополь,
IBANEZ GIO GRG170DX BKN, https://www.muztorg.ru/files/5dc/okz/uq7/dcs/coc/k8c/0gw/8kc/o/5dcokzuq7dcscock8c0gw8kco.jpg, 24, 6, H-s-h, на болтах, клён, тополь,
ROCKDALE Stars HSS WH, https://www.muztorg.ru/files/1wt/kiy/w60/io0/88o/kck/gog/80k/8/1wtkiyw60io088okckgog80k8.jpg, 22, 6, H-s-s, на болтах, клён, тополь,
TERRIS TLP-039 BK, https://www.muztorg.ru/files/97y/8x3/whb/ww8/88o/gog/wc8/ksg/8/97y8x3whbww888ogogwc8ksg8.jpeg, 22, 6, H-h, на болтах, клён, липа,
IBANEZ GSA60-BKN, https://www.muztorg.ru/files/dmp/kc8/h2x/k8o/owg/004/os4/so8/s/dmpkc8h2xk8oowg004os4so8s.jpg, 22, 6, S-s-h, на болтах, клён, окуме,
Ibanez RG421-MOL, https://www.muztorg.ru/files/cnl/dk2/kuz/tw0/owo/8gk/ww8/k4s/4/cnldk2kuztw0owo8gkww8k4s4.jpg, 24, 6, H-h, на болтах, клён, красное дерево,
ROCKDALE Stars HT HSS Black Limited Edition, https://www.muztorg.ru/files/dzm/l64/460/ls8/sok/cwc/g4c/8os/w/dzml64460ls8sokcwcg4c8osw.jpg, 22, 6, H-s-s, на болтах, клён, тополь,
IBANEZ JEMJR-WH, https://www.muztorg.ru/files/49m/95n/0al/728/k8c/gs8/w40/c44/o/49m95n0al728k8cgs8w40c44o.png, 24, 6, H-s-h, на болтах, клён, красное дерево,
